LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,mispredictions,p2 latency,energy per instruction
5,6,9,10,13,145,13,11,12349.0,1.52,739.0
5,6,8,10,14,102,12,4,13192.0,1.38,561.0
5,4,8,12,14,63,10,4,14494.0,1.31,414.0
4,5,8,8,12,145,10,11,13455.0,1.33,507.0
4,8,11,10,12,179,15,11,11598.0,1.77,2027.0
4,6,9,10,13,145,11,11,12318.0,1.48,845.0
4,5,10,12,13,145,10,10,11992.0,1.55,1012.0
4,5,9,12,10,145,10,10,12580.0,1.43,661.0
4,6,8,9,13,145,10,10,12938.0,1.35,616.0
5,5,9,12,10,112,10,10,13113.0,1.42,537.0
4,6,9,12,13,145,10,11,12306.0,1.45,849.0
5,4,9,9,11,63,10,4,13980.0,1.37,391.0
4,4,8,12,13,63,10,4,14552.0,1.27,481.0
4,5,9,12,10,145,10,4,12638.0,1.43,659.0
4,5,10,10,13,145,10,11,12105.0,1.53,891.0
4,6,9,10,12,145,13,11,12216.0,1.45,866.0
4,8,11,10,11,179,12,11,11700.0,1.82,1737.0
4,6,8,12,12,145,10,11,12903.0,1.39,687.0
5,5,9,11,10,145,10,4,12845.0,1.43,520.0
5,4,8,10,8,66,11,4,29419.0,1.29,367.0
5,4,8,10,13,63,10,4,14679.0,1.32,383.0
5,5,11,10,13,179,10,11,12231.0,1.79,833.0
5,6,8,10,10,145,10,11,13204.0,1.36,479.0
5,6,9,8,13,145,10,11,12360.0,1.5,623.0
5,4,8,9,13,66,10,4,14547.0,1.33,386.0
4,8,11,13,10,179,10,4,11724.0,1.81,1703.0
4,5,9,10,10,145,11,8,12699.0,1.42,632.0
5,5,9,9,13,145,10,4,12678.0,1.52,583.0
5,5,11,10,12,179,10,11,12234.0,1.78,811.0
5,5,8,8,14,145,10,4,13569.0,1.38,466.0
4,6,11,13,10,145,11,8,11779.0,1.68,1322.0
4,4,9,8,13,63,10,10,13782.0,1.34,502.0
4,5,8,8,12,145,10,4,13543.0,1.33,504.0
5,6,9,8,13,145,10,4,12448.0,1.5,621.0
4,8,11,13,11,179,15,4,11654.0,1.76,2053.0
4,8,8,12,12,145,10,5,12535.0,1.43,927.0
4,8,11,8,12,179,10,11,11705.0,1.82,1711.0
4,6,10,12,10,145,10,4,12141.0,1.49,995.0
4,5,8,8,13,145,11,8,13157.0,1.37,589.0
